id;name;description;user_id
1;solution;Colombian Peso Unidad de Valor Real Bridge Handmade;1
2;Hollow Shoes systems;Generic Frozen Tuna HTTP;1
3;Kids Optimization;EXE payment;1
4;Tasty Metal Sausages Outdoors;invoice multi-byte;2
5;North Carolina Granite;Somalia Web revolutionize;2
6;Dynamic black;yellow;1
7;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;1
8;open-source hybrid;Solomon Islands Dollar;1
9;Accountability Handmade Cotton Bacon;intermediate Table quantify;2
10;Producer infrastructures;Robust Louisiana;2
